ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S,特性_日本語,特性_英語
フシギバナ,Venusaur,くさ,Grass,どく,Poison,80,82,83,100,100,80,155,102,103,120,120,100,"ムラっけ,ぼうじん,あついしぼう,まけんき,しんりょく,あまのじゃく,ようりょくそ,ふみん,もうか,かたやぶり,そうしょく,げきりゅう,ぼうだん","Moody,Overcoat,Thick fat,Defiant,Overgrow,Contrary,Chlorophyll,Insomnia,Blaze,Mold breaker,Sap sipper,Torrent,Bulletproof"
メガフシギバナ,メガフシギバナ,くさ,Grass,どく,Poison,80,100,123,122,120,80,155,120,143,142,140,100,"ムラっけ,ぼうじん,あついしぼう,まけんき,しんりょく,あまのじゃく,ようりょくそ,ふみん,もうか,かたやぶり,そうしょく,げきりゅう,ぼうだん","Moody,Overcoat,Thick fat,Defiant,Overgrow,Contrary,Chlorophyll,Insomnia,Blaze,Mold breaker,Sap sipper,Torrent,Bulletproof"
リザードン,Charizard,ほのお,Fire,ひこう,Flying,78,84,78,109,85,100,153,104,98,129,105,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
メガリザードンX,メガリザードンX,ほのお,Fire,ドラゴン,Dragon,78,130,111,130,85,100,153,150,131,150,105,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
メガリザードンY,メガリザードンY,ほのお,Fire,ひこう,Flying,78,104,78,159,115,100,153,124,98,179,135,120,"ひでり,サンパワー,じきゅうりょく,いたずらごころ,トレース,はやてのつばさ,ほのおのからだ,ようりょくそ,もうか,こんじょう,ほうし,すなおこし,かたいツメ,いかく","Drought,Solar power,Stamina,Prankster,Trace,Gale wings,Flame body,Chlorophyll,Blaze,Guts,Effect spore,Sand stream,Tough claws,Intimidate"
カメックス,Blastoise,みず,Water,,,79,83,100,85,105,78,154,103,120,105,125,98,"ぼうおん,すじがねいり,ばけのかわ,メガランチャー,マルチスケイル,がんじょう,ちょすい,スキルリンク,トレース,ちからずく,あめうけざら,プラス,げきりゅう,ひらいしん,いかく,てんねん","Soundproof,Stalwart,Disguise,Mega launcher,Multiscale,Sturdy,Water absorb,Skill link,Trace,Sheer force,Rain dish,Plus,Torrent,Lightning rod,Intimidate,Unaware"
メガカメックス,メガカメックス,みず,Water,,,79,103,120,135,115,78,154,123,140,155,135,98,"ぼうおん,すじがねいり,ばけのかわ,メガランチャー,マルチスケイル,がんじょう,ちょすい,スキルリンク,トレース,ちからずく,あめうけざら,プラス,げきりゅう,ひらいしん,いかく,てんねん","Soundproof,Stalwart,Disguise,Mega launcher,Multiscale,Sturdy,Water absorb,Skill link,Trace,Sheer force,Rain dish,Plus,Torrent,Lightning rod,Intimidate,Unaware"
スピアー,Beedrill,むし,Bug,どく,Poison,65,90,40,45,80,75,140,110,60,65,100,95,"スナイパー,まけんき,トレース,むしのしらせ,てきおうりょく,ぼうだん,ふゆう","Sniper,Defiant,Trace,Swarm,Adaptability,Bulletproof,Levitate"
メガスピアー,メガスピアー,むし,Bug,どく,Poison,65,150,40,15,80,145,140,170,60,35,100,165,"スナイパー,まけんき,トレース,むしのしらせ,てきおうりょく,ぼうだん,ふゆう","Sniper,Defiant,Trace,Swarm,Adaptability,Bulletproof,Levitate"
ピジョット,Pidgeot,ノーマル,Normal,ひこう,Flying,83,80,75,70,70,101,158,100,95,90,90,121,"ちどりあし,ノーガード,すてみ,はとむね,トレース,あめうけざら,かたやぶり,へんげんじざい,すながくれ,あめふらし,するどいめ","Tangled feet,No guard,Reckless,Big pecks,Trace,Rain dish,Mold breaker,Protean,Sand veil,Drizzle,Keen eye"
