No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0026,Aライチュウ,Aライチュウ,でんき,Electric,エスパー,Psychic,60,85,50,95,85,110,135,105,70,115,105,130
0038,Aキュウコン,Aキュウコン,こおり,Ice,フェアリー,Fairy,73,67,75,81,100,109,148,87,95,101,120,129
0724,ジュナイパー（RFあり）,ジュナイパー（RFあり）,くさ,Grass,ゴースト,Ghost,78,107,75,100,100,70,153,127,95,120,120,90
0727,ガオガエン,Incineroar,ほのお,Fire,あく,Dark,95,115,90,80,90,60,170,135,110,100,110,80
0730,アシレーヌ,Primarina,みず,Water,フェアリー,Fairy,80,74,74,126,116,60,155,94,94,146,136,80
0733,ドデカバシ,Toucannon,ノーマル,Normal,ひこう,Flying,80,120,75,75,75,60,155,140,95,95,95,80
0740,ケケンカニ,Crabominable,かくとう,Fighting,こおり,Ice,97,132,77,62,67,43,172,152,97,82,87,63
0740,メガケケンカニ,メガケケンカニ,かくとう,Fighting,こおり,Ice,97,157,122,62,107,33,172,177,142,82,127,53
0745,ルガルガン(真昼),ルガルガン(真昼),いわ,Rock,,,75,115,65,55,65,112,150,135,85,75,85,132
0745,ルガルガン(真夜中),ルガルガン(真夜中),いわ,Rock,,,85,115,75,55,75,82,160,135,95,75,95,102
0745,ルガルガン(黄昏),ルガルガン(黄昏),いわ,Rock,,,75,117,65,55,65,110,150,137,85,75,85,130
0748,ドヒドイデ,Toxapex,どく,Poison,みず,Water,50,63,152,53,142,35,125,83,172,73,162,55
0750,バンバドロ,Mudsdale,じめん,Ground,,,100,125,100,55,85,35,175,145,120,75,105,55
0752,オニシズクモ,Araquanid,みず,Water,むし,Bug,68,70,92,50,132,42,143,90,112,70,152,62
0758,エンニュート,Salazzle,どく,Poison,ほのお,Fire,68,64,60,111,60,117,143,84,80,131,80,137
0763,アマージョ,Tsareena,くさ,Grass,,,72,120,98,50,98,72,147,140,118,70,118,92
0765,ヤレユータン,Oranguru,ノーマル,Normal,エスパー,Psychic,90,60,80,90,110,60,165,80,100,110,130,80
0766,ナゲツケサル,Passimian,かくとう,Fighting,,,100,120,90,40,60,80,175,140,110,60,80,100
0778,ミミッキュ,Mimikyu,ゴースト,Ghost,フェアリー,Fairy,55,90,80,50,105,96,130,110,100,70,125,116
0780,ジジーロン,Drampa,ノーマル,Normal,ドラゴン,Dragon,78,60,85,135,91,36,153,80,105,155,111,56
0780,メガジジーロン,メガジジーロン,ノーマル,Normal,ドラゴン,Dragon,78,85,110,160,116,36,153,105,130,180,136,56
0784,ジャラランガ,Kommo-o,ドラゴン,Dragon,かくとう,Fighting,75,110,125,100,105,85,150,130,145,120,125,105
0026,Aライチュウ,Aライチュウ,でんき,Electric,エスパー,Psychic,60,85,50,95,85,110,135,105,70,115,105,130
0038,Aキュウコン,Aキュウコン,こおり,Ice,フェアリー,Fairy,73,67,75,81,100,109,148,87,95,101,120,129
0724,ジュナイパー（RFあり）,ジュナイパー（RFあり）,くさ,Grass,ゴースト,Ghost,78,107,75,100,100,70,153,127,95,120,120,90
0727,ガオガエン,Incineroar,ほのお,Fire,あく,Dark,95,115,90,80,90,60,170,135,110,100,110,80
0730,アシレーヌ,Primarina,みず,Water,フェアリー,Fairy,80,74,74,126,116,60,155,94,94,146,136,80
0733,ドデカバシ,Toucannon,ノーマル,Normal,ひこう,Flying,80,120,75,75,75,60,155,140,95,95,95,80
0740,ケケンカニ,Crabominable,かくとう,Fighting,こおり,Ice,97,132,77,62,67,43,172,152,97,82,87,63
0740,メガケケンカニ,メガケケンカニ,かくとう,Fighting,こおり,Ice,97,157,122,62,107,33,172,177,142,82,127,53
0745,ルガルガン(真昼),ルガルガン(真昼),いわ,Rock,,,75,115,65,55,65,112,150,135,85,75,85,132
0745,ルガルガン(真夜中),ルガルガン(真夜中),いわ,Rock,,,85,115,75,55,75,82,160,135,95,75,95,102
0745,ルガルガン(黄昏),ルガルガン(黄昏),いわ,Rock,,,75,117,65,55,65,110,150,137,85,75,85,130
0748,ドヒドイデ,Toxapex,どく,Poison,みず,Water,50,63,152,53,142,35,125,83,172,73,162,55
0750,バンバドロ,Mudsdale,じめん,Ground,,,100,125,100,55,85,35,175,145,120,75,105,55
0752,オニシズクモ,Araquanid,みず,Water,むし,Bug,68,70,92,50,132,42,143,90,112,70,152,62
0758,エンニュート,Salazzle,どく,Poison,ほのお,Fire,68,64,60,111,60,117,143,84,80,131,80,137
0763,アマージョ,Tsareena,くさ,Grass,,,72,120,98,50,98,72,147,140,118,70,118,92
0765,ヤレユータン,Oranguru,ノーマル,Normal,エスパー,Psychic,90,60,80,90,110,60,165,80,100,110,130,80
0766,ナゲツケサル,Passimian,かくとう,Fighting,,,100,120,90,40,60,80,175,140,110,60,80,100
0778,ミミッキュ,Mimikyu,ゴースト,Ghost,フェアリー,Fairy,55,90,80,50,105,96,130,110,100,70,125,116
0780,ジジーロン,Drampa,ノーマル,Normal,ドラゴン,Dragon,78,60,85,135,91,36,153,80,105,155,111,56
0780,メガジジーロン,メガジジーロン,ノーマル,Normal,ドラゴン,Dragon,78,85,110,160,116,36,153,105,130,180,136,56
0784,ジャラランガ,Kommo-o,ドラゴン,Dragon,かくとう,Fighting,75,110,125,100,105,85,150,130,145,120,125,105
